Deeded_Acreage,Year_Built,HEATED_AREA,Accrued_Assessed_Condition_Pct
1.49,1952,960,66
0.5,1960,1935,34
0.58,1960,2184,91
0.41,1968,1461,69
0.32,1963,1655,67
0.36,1970,1161,67
0.22,1949,1664,81
0.57,1985,2036,85
1,1970,832,60
0.22,1949,1282,94
0.27,1955,1012,73
0.47,1988,1370,77
0.48,1973,1604,69
0.46,1972,1492,82
0.41,1964,1842,64
0.35,2014,3496,95
0.72,1920,2188,54
0.33,1928,1565,67
0.28,2013,2013,94
0.32,1910,2690,78
0.44,1955,1426,60
0.34,1971,1575,76
0.12,2013,2546,94
0.43,1964,1810,94
0.26,1965,1920,86
0.42,2015,3403,95
0.27,1960,1230,94
0.41,1972,3540,80
0.36,2008,4779,92
0.12,1920,1940,78
0.66,1955,2692,39
0.25,1962,1627,68
0.4,1966,1878,33
0.26,1962,1924,71
0.09,2000,1972,91
0.26,1981,1040,73
0.31,1967,1964,66
0.41,1967,2548,71
0.44,1966,2344,91
0.26,1965,1863,65
1.01,1970,2645,67
0.19,1955,672,76
0.21,1950,1175,94
0.58,1962,2680,70
0.3,1970,1066,78
0.94,1956,780,43
0.94,1966,570,44
0.28,1959,1075,90
0.32,2016,4274,96
0.51,1960,1350,62
0.38,1963,3311,47
0.23,1971,1475,68
0.28,1970,1607,87
0.21,1935,1288,79
3.26,1979,3173,50
3.87,1998,3700,89
0.46,1955,1120,70
0.21,2016,3238,96
0.5,1954,1582,54
0.96,1932,2112,69
0.9,1965,1586,88
0.13,1920,732,67
0.21,2012,1094,92
0.29,1972,2002,74
0.33,1967,1382,50
0.29,1960,975,60
0.34,1954,1434,65
0.13,2015,3751,94
0.18,1957,1517,39
0.41,1973,1074,49
0.3,1965,2246,81
0.43,2004,5306,90
0.21,1921,2735,76
0.75,1901,5914,88
0.23,1955,816,78
0.37,1959,1439,67
0.38,1969,2236,81
0.27,1964,2259,95
0.23,1960,1075,66
0.21,1971,1152,74
1.97,1905,3054,76
0.46,1998,3335,83
0.34,1958,1092,73
0.11,1949,1350,88
0.42,1959,2433,91
0.27,1963,1857,81
0.28,1960,2076,67
0.53,1957,1424,67
0.25,1975,1050,78
0.24,1971,1092,68
0.29,1972,1050,61
0.26,1972,1107,68
0.29,1971,1025,71
0.28,1972,1092,68
0.28,1971,1787,68
0.14,1949,856,95
0.29,1969,1889,67
0.17,1962,1715,67
0.25,1950,2894,93
0.36,1963,2376,61
0.64,1964,2204,57
1.08,1994,1271,81
0.29,2019,1352,97
0.46,1971,957,68
0.71,1963,2649,84
0.15,1925,2592,84
0.34,2017,4246,96
0.24,1955,837,91
0.14,1953,1680,94
0.28,1969,2720,72
0.24,1959,1092,69
0.93,2005,3232,87
0.17,1901,1540,88
0.08,1935,880,45
0.48,1952,3491,75
1.35,1970,980,47
0.87,1959,1850,57
0.47,1961,2060,79
0.46,1972,2648,76
0.57,1957,1755,81
0.3,1942,3076,87
0.56,1966,2066,58
0.22,1955,1036,37
0.33,1971,2100,61
0.27,1960,1124,91
0.2,1949,1556,84
0.35,1966,2422,73
0.5,2005,1800,83
0.35,1969,2233,62
0.46,1972,2274,76
0.47,1972,1580,93
0.41,1958,1272,81
0.54,1955,1100,88
0.25,1950,936,84
0.27,1908,3682,67
0.47,1963,2800,88
0.22,1922,3301,94
0.43,1971,2124,68
0.17,1925,2099,91
0.29,1969,2139,67
0.31,1971,1979,84
0.26,1961,1290,63
0.55,1959,1783,75
0.17,1981,1008,33
0.63,1957,1620,91
0.26,1949,1629,72
0.25,1962,1083,63
0.46,1966,1716,70
0.15,1952,1750,87
0.48,2001,2113,84
0.53,1961,1508,75
0.27,1968,1725,66
0.34,1959,1598,93
0.29,1963,2132,93
0.49,1950,876,26
0.65,1957,1775,57
0.16,1925,2498,95
0.27,1971,1555,88
1.42,1965,1534,76
0.06,1950,602,45
0.06,1910,1280,73
0.06,2012,1256,94
0.23,1939,1349,38
0.46,1961,7040,60
0.35,2004,4292,90
0.16,1935,688,16
0.06,2017,1530,96
0.63,1960,3584,56
0.22,1940,3899,93
0.46,1968,1456,79
0.25,1962,1460,88
0.37,1967,1884,77
0.37,1969,2236,78
0.45,1960,2244,93
0.36,1969,1880,76
0.2,1940,1085,27
0.32,1948,1171,28
0.16,1926,2816,84
0.55,1991,2838,66
0.82,1970,2188,67
0.28,1957,2007,52
0.38,1967,1673,66
0.53,1967,2889,58
0.11,2000,1089,84
0.08,2016,1788,96
0.09,1920,1851,93
0.11,2000,1398,88
0.11,1998,1728,88
0.33,1968,1960,83
0.45,1956,1240,67
0.36,1959,1709,78
0.48,2017,2874,96
0.52,2019,7446,97
0.33,2018,4087,97
0.21,2019,3499,97
0.49,1973,2514,94
0.19,1947,1024,47
0.51,1969,3568,92
0.38,1965,2427,73
0.32,2017,3103,96
0.27,1970,1666,84
0.29,1971,1614,93
0.38,1961,2346,49
0.5,1954,3079,91
0.3,1964,2206,47
0.33,1949,3379,95
0.35,1960,1505,63
0.34,1968,1470,66
0.38,1959,3889,90
0.39,1954,1601,70
0.4,1967,1741,84
0.26,1962,1883,92
0.32,1957,1355,82
0.68,1971,1479,79
0.21,1945,1064,67
0.51,1960,1512,67
0.16,1923,2480,88
0.38,1967,2193,66
0.5,1965,1363,60
0.42,1970,1046,73
0.45,1967,2140,78
0.46,1964,1128,75
0.2,1966,1000,65
0.32,2006,3861,91
0.25,1949,2492,91
0.31,1968,1328,66
0.3,1962,1950,79
0.34,1971,1753,71
0.23,2005,4454,91
0.34,1972,1837,67
0.45,1970,1772,67
0.53,1983,1444,82
0.23,1941,2478,93
0.21,1926,3300,80
0.2,1928,2358,92
0.24,1959,975,76
0.45,1925,2260,18
0.49,1959,1325,67
6.24,1953,904,50
0.61,1960,1266,73
0.39,1972,1369,68
0.34,1968,1848,84
0.47,1972,2781,81
0.45,1955,1032,73
0.34,1953,814,76
0.19,1954,3798,92
0.34,1958,1391,73
0.23,1956,1824,93
0.25,1946,894,40
0.58,2017,5137,96
0.36,2018,5179,97
0.39,1963,2334,32
0.26,2007,4612,89
0.15,1939,1643,55
0.31,1945,1505,45
0.15,1961,1000,28
1,1951,1563,73
0.46,1971,960,76
0.39,1962,2673,53
0.37,1928,6130,100
0.65,1875,3677,54
0.11,2020,1628,97
0.39,1957,2665,84
5.06,1940,1671,73
0.23,1969,2015,69
0.3,1960,2468,87
0.36,1971,1735,71
0.52,1977,1008,71
0.46,1977,1032,73
0.48,1978,1613,76
0.5,1975,1337,63
0.52,1978,936,76
0.68,1977,1008,71
0.53,1977,1286,76
0.42,1985,1799,43
0.52,1964,874,26
0.31,1968,2858,66
0.26,1958,2968,88
0.36,1984,3685,88
0.27,1976,2618,75
0.26,1976,1763,38
0.45,1972,2397,66
0.54,1965,1832,20
0.5,1970,1949,84
0.44,1978,1565,84
0.51,1979,1230,72
0.73,1972,2423,77
